Région,Année,Tour,code_departement,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs et nuls,% BlNuls/Ins,% BlNuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,Sexe.1,Nom.1,Prénom.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,5,Condat-sur-Vienne,14962,2621,17.52,12341,82.48,1937,12.95,15.7,10404,69.54,84.3,M,MACRON,Emmanuel,7487,50.04,71.96,F,LE PEN,Marine,2917,19.5,28.04
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,6,Couzeix,15524,2880,18.55,12644,81.45,1979,12.75,15.65,10665,68.7,84.35,M,MACRON,Emmanuel,7522,48.45,70.53,F,LE PEN,Marine,3143,20.25,29.47
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,7,Eymoutiers,15602,3422,21.93,12180,78.07,2078,13.32,17.06,10102,64.75,82.94,M,MACRON,Emmanuel,6890,44.16,68.2,F,LE PEN,Marine,3212,20.59,31.8
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,8,Limoges-1,11804,2835,24.02,8969,75.98,1228,10.4,13.69,7741,65.58,86.31,M,MACRON,Emmanuel,5859,49.64,75.69,F,LE PEN,Marine,1882,15.94,24.31
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,9,Limoges-2,9174,2478,27.01,6696,72.99,857,9.34,12.8,5839,63.65,87.2,M,MACRON,Emmanuel,4485,48.89,76.81,F,LE PEN,Marine,1354,14.76,23.19
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,10,Limoges-3,11032,2803,25.41,8229,74.59,1134,10.28,13.78,7095,64.31,86.22,M,MACRON,Emmanuel,5542,50.24,78.11,F,LE PEN,Marine,1553,14.08,21.89
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,11,Limoges-4,9973,2807,28.15,7166,71.85,927,9.3,12.94,6239,62.56,87.06,M,MACRON,Emmanuel,4392,44.04,70.4,F,LE PEN,Marine,1847,18.52,29.6
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,12,Limoges-5,12656,2739,21.64,9917,78.36,1496,11.82,15.09,8421,66.54,84.91,M,MACRON,Emmanuel,6147,48.57,73.0,F,LE PEN,Marine,2274,17.97,27.0
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,13,Limoges-6,9411,2643,28.08,6768,71.92,854,9.07,12.62,5914,62.84,87.38,M,MACRON,Emmanuel,4801,51.01,81.18,F,LE PEN,Marine,1113,11.83,18.82
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,14,Limoges-7,8471,2172,25.64,6299,74.36,827,9.76,13.13,5472,64.6,86.87,M,MACRON,Emmanuel,4159,49.1,76.01,F,LE PEN,Marine,1313,15.5,23.99
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,15,Limoges-8,8898,2476,27.83,6422,72.17,806,9.06,12.55,5616,63.12,87.45,M,MACRON,Emmanuel,4421,49.69,78.72,F,LE PEN,Marine,1195,13.43,21.28
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,16,Limoges-9,11513,2376,20.64,9137,79.36,1182,10.27,12.94,7955,69.1,87.06,M,MACRON,Emmanuel,6375,55.37,80.14,F,LE PEN,Marine,1580,13.72,19.86
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,17,Panazol,12901,2327,18.04,10574,81.96,1496,11.6,14.15,9078,70.37,85.85,M,MACRON,Emmanuel,6957,53.93,76.64,F,LE PEN,Marine,2121,16.44,23.36
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,18,Rochechouart,13139,2658,20.23,10481,79.77,1659,12.63,15.83,8822,67.14,84.17,M,MACRON,Emmanuel,5730,43.61,64.95,F,LE PEN,Marine,3092,23.53,35.05
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,19,Saint-Junien,15617,3203,20.51,12414,79.49,1863,11.93,15.01,10551,67.56,84.99,M,MACRON,Emmanuel,7239,46.35,68.61,F,LE PEN,Marine,3312,21.21,31.39
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,20,Saint-Léonard-de-Noblat,12843,2387,18.59,10456,81.41,1685,13.12,16.12,8771,68.29,83.88,M,MACRON,Emmanuel,5785,45.04,65.96,F,LE PEN,Marine,2986,23.25,34.04
Nouvelle-Aquitaine,2017,2,87,Haute-Vienne,21,Saint-Yrieix-la-Perche,16377,3260,19.91,13117,80.09,2039,12.45,15.54,11078,67.64,84.46,M,MACRON,Emmanuel,7589,46.34,68.51,F,LE PEN,Marine,3489,21.3,31.49
