Région,Année,Tour,code_departement,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs et nuls,% BlNuls/Ins,% BlNuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,Sexe.1,Nom.1,Prénom.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1
Nouvelle-Aquitaine,2012,2,16,CHARENTE,1,AIGRE,3815,558,14.63,3257,85.37,190,4.98,5.83,3067,80.39,94.17,M,HOLLANDE,François,1678,43.98,54.71,M,SARKOZY,Nicolas,1389,36.41,45.29
Nouvelle-Aquitaine,2012,2,16,CHARENTE,2,ANGOULÊME-EST,8223,1957,23.8,6266,76.2,311,3.78,4.96,5955,72.42,95.04,M,HOLLANDE,François,3550,43.17,59.61,M,SARKOZY,Nicolas,2405,29.25,40.39
Nouvelle-Aquitaine,2012,2,16,CHARENTE,3,ANGOULÊME-NORD,8520,1997,23.44,6523,76.56,348,4.08,5.33,6175,72.48,94.67,M,HOLLANDE,François,3735,43.84,60.49,M,SARKOZY,Nicolas,2440,28.64,39.51
Nouvelle-Aquitaine,2012,2,16,CHARENTE,4,AUBETERRE-SUR-DRONNE,2387,375,15.71,2012,84.29,149,6.24,7.41,1863,78.05,92.59,M,HOLLANDE,François,1036,43.4,55.61,M,SARKOZY,Nicolas,827,34.65,44.39
Nouvelle-Aquitaine,2012,2,16,CHARENTE,5,BAIGNES-SAINTE-RADEGONDE,3260,530,16.26,2730,83.74,210,6.44,7.69,2520,77.3,92.31,M,HOLLANDE,François,1380,42.33,54.76,M,SARKOZY,Nicolas,1140,34.97,45.24
Nouvelle-Aquitaine,2012,2,16,CHARENTE,6,BARBEZIEUX-SAINT-HILAIRE,7540,1288,17.08,6252,82.92,422,5.6,6.75,5830,77.32,93.25,M,HOLLANDE,François,3126,41.46,53.62,M,SARKOZY,Nicolas,2704,35.86,46.38
Nouvelle-Aquitaine,2012,2,16,CHARENTE,7,BLANZAC-PORCHERESSE,6476,1046,16.15,5430,83.85,412,6.36,7.59,5018,77.49,92.41,M,HOLLANDE,François,2896,44.72,57.71,M,SARKOZY,Nicolas,2122,32.77,42.29
Nouvelle-Aquitaine,2012,2,16,CHARENTE,8,BROSSAC,1772,311,17.55,1461,82.45,94,5.3,6.43,1367,77.14,93.57,M,HOLLANDE,François,816,46.05,59.69,M,SARKOZY,Nicolas,551,31.09,40.31
Nouvelle-Aquitaine,2012,2,16,CHARENTE,9,CHABANAIS,6061,1004,16.56,5057,83.44,344,5.68,6.8,4713,77.76,93.2,M,HOLLANDE,François,3140,51.81,66.62,M,SARKOZY,Nicolas,1573,25.95,33.38
Nouvelle-Aquitaine,2012,2,16,CHARENTE,10,CHALAIS,3552,719,20.24,2833,79.76,177,4.98,6.25,2656,74.77,93.75,M,HOLLANDE,François,1479,41.64,55.69,M,SARKOZY,Nicolas,1177,33.14,44.31
Nouvelle-Aquitaine,2012,2,16,CHARENTE,11,CHAMPAGNE-MOUTON,2069,376,18.17,1693,81.83,89,4.3,5.26,1604,77.53,94.74,M,HOLLANDE,François,1039,50.22,64.78,M,SARKOZY,Nicolas,565,27.31,35.22
Nouvelle-Aquitaine,2012,2,16,CHARENTE,12,CHATEAUNEUF-SUR-CHARENTE,6158,1056,17.15,5102,82.85,363,5.89,7.11,4739,76.96,92.89,M,HOLLANDE,François,2505,40.68,52.86,M,SARKOZY,Nicolas,2234,36.28,47.14
Nouvelle-Aquitaine,2012,2,16,CHARENTE,13,COGNAC-NORD,11955,2346,19.62,9609,80.38,588,4.92,6.12,9021,75.46,93.88,M,HOLLANDE,François,4864,40.69,53.92,M,SARKOZY,Nicolas,4157,34.77,46.08
Nouvelle-Aquitaine,2012,2,16,CHARENTE,14,CONFOLENS-NORD,3469,486,14.01,2983,85.99,213,6.14,7.14,2770,79.85,92.86,M,HOLLANDE,François,1796,51.77,64.84,M,SARKOZY,Nicolas,974,28.08,35.16
Nouvelle-Aquitaine,2012,2,16,CHARENTE,15,CONFOLENS-SUD,4774,740,15.5,4034,84.5,275,5.76,6.82,3759,78.74,93.18,M,HOLLANDE,François,2311,48.41,61.48,M,SARKOZY,Nicolas,1448,30.33,38.52
Nouvelle-Aquitaine,2012,2,16,CHARENTE,16,HIERSAC,9624,1510,15.69,8114,84.31,554,5.76,6.83,7560,78.55,93.17,M,HOLLANDE,François,4284,44.51,56.67,M,SARKOZY,Nicolas,3276,34.04,43.33
Nouvelle-Aquitaine,2012,2,16,CHARENTE,17,JARNAC,9760,1702,17.44,8058,82.56,497,5.09,6.17,7561,77.47,93.83,M,HOLLANDE,François,4232,43.36,55.97,M,SARKOZY,Nicolas,3329,34.11,44.03
Nouvelle-Aquitaine,2012,2,16,CHARENTE,18,MANSLE,6698,1064,15.89,5634,84.11,400,5.97,7.1,5234,78.14,92.9,M,HOLLANDE,François,3106,46.37,59.34,M,SARKOZY,Nicolas,2128,31.77,40.66
Nouvelle-Aquitaine,2012,2,16,CHARENTE,19,MONTBRON,5591,776,13.88,4815,86.12,373,6.67,7.75,4442,79.45,92.25,M,HOLLANDE,François,2573,46.02,57.92,M,SARKOZY,Nicolas,1869,33.43,42.08
Nouvelle-Aquitaine,2012,2,16,CHARENTE,20,MONTEMBOEUF,3074,516,16.79,2558,83.21,176,5.73,6.88,2382,77.49,93.12,M,HOLLANDE,François,1424,46.32,59.78,M,SARKOZY,Nicolas,958,31.16,40.22
Nouvelle-Aquitaine,2012,2,16,CHARENTE,21,MONTMOREAU-SAINT-CYBARD,3709,615,16.58,3094,83.42,205,5.53,6.63,2889,77.89,93.37,M,HOLLANDE,François,1619,43.65,56.04,M,SARKOZY,Nicolas,1270,34.24,43.96
Nouvelle-Aquitaine,2012,2,16,CHARENTE,22,LA ROCHEFOUCAULD,14443,2218,15.36,12225,84.64,799,5.53,6.54,11426,79.11,93.46,M,HOLLANDE,François,7029,48.67,61.52,M,SARKOZY,Nicolas,4397,30.44,38.48
Nouvelle-Aquitaine,2012,2,16,CHARENTE,23,ROUILLAC,5839,937,16.05,4902,83.95,319,5.46,6.51,4583,78.49,93.49,M,HOLLANDE,François,2723,46.63,59.42,M,SARKOZY,Nicolas,1860,31.85,40.58
Nouvelle-Aquitaine,2012,2,16,CHARENTE,24,RUFFEC,6425,1094,17.03,5331,82.97,386,6.01,7.24,4945,76.96,92.76,M,HOLLANDE,François,2972,46.26,60.1,M,SARKOZY,Nicolas,1973,30.71,39.9
Nouvelle-Aquitaine,2012,2,16,CHARENTE,25,SAINT-AMANT-DE-BOIXE,7159,1114,15.56,6045,84.44,474,6.62,7.84,5571,77.82,92.16,M,HOLLANDE,François,3228,45.09,57.94,M,SARKOZY,Nicolas,2343,32.73,42.06
Nouvelle-Aquitaine,2012,2,16,CHARENTE,26,SAINT-CLAUD,8431,1497,17.76,6934,82.24,418,4.96,6.03,6516,77.29,93.97,M,HOLLANDE,François,4256,50.48,65.32,M,SARKOZY,Nicolas,2260,26.81,34.68
Nouvelle-Aquitaine,2012,2,16,CHARENTE,27,SEGONZAC,9521,1735,18.22,7786,81.78,512,5.38,6.58,7274,76.4,93.42,M,HOLLANDE,François,3679,38.64,50.58,M,SARKOZY,Nicolas,3595,37.76,49.42
Nouvelle-Aquitaine,2012,2,16,CHARENTE,28,VILLEBOIS-LAVALETTE,5903,864,14.64,5039,85.36,324,5.49,6.43,4715,79.87,93.57,M,HOLLANDE,François,2598,44.01,55.1,M,SARKOZY,Nicolas,2117,35.86,44.9
Nouvelle-Aquitaine,2012,2,16,CHARENTE,29,VILLEFAGNAN,4435,671,15.13,3764,84.87,260,5.86,6.91,3504,79.01,93.09,M,HOLLANDE,François,2049,46.2,58.48,M,SARKOZY,Nicolas,1455,32.81,41.52
Nouvelle-Aquitaine,2012,2,16,CHARENTE,30,LA COURONNE,18520,3381,18.26,15139,81.74,995,5.37,6.57,14144,76.37,93.43,M,HOLLANDE,François,8619,46.54,60.94,M,SARKOZY,Nicolas,5525,29.83,39.06
Nouvelle-Aquitaine,2012,2,16,CHARENTE,31,RUELLE-SUR-TOUVRE,14567,2489,17.09,12078,82.91,746,5.12,6.18,11332,77.79,93.82,M,HOLLANDE,François,7254,49.8,64.01,M,SARKOZY,Nicolas,4078,27.99,35.99
Nouvelle-Aquitaine,2012,2,16,CHARENTE,32,SOYAUX,10238,1981,19.35,8257,80.65,493,4.82,5.97,7764,75.84,94.03,M,HOLLANDE,François,4629,45.21,59.62,M,SARKOZY,Nicolas,3135,30.62,40.38
Nouvelle-Aquitaine,2012,2,16,CHARENTE,33,COGNAC-SUD,12815,2542,19.84,10273,80.16,613,4.78,5.97,9660,75.38,94.03,M,HOLLANDE,François,5466,42.65,56.58,M,SARKOZY,Nicolas,4194,32.73,43.42
Nouvelle-Aquitaine,2012,2,16,CHARENTE,34,ANGOULÊME-OUEST,9377,2415,25.75,6962,74.25,331,3.53,4.75,6631,70.72,95.25,M,HOLLANDE,François,4018,42.85,60.59,M,SARKOZY,Nicolas,2613,27.87,39.41
Nouvelle-Aquitaine,2012,2,16,CHARENTE,35,LE-GOND-PONTOUVRE,14568,2221,15.25,12347,84.75,789,5.42,6.39,11558,79.34,93.61,M,HOLLANDE,François,6991,47.99,60.49,M,SARKOZY,Nicolas,4567,31.35,39.51
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,1,AIGREFEUILLE-D'AUNIS,9726,1549,15.93,8177,84.07,554,5.7,6.78,7623,78.38,93.22,M,HOLLANDE,François,4269,43.89,56.0,M,SARKOZY,Nicolas,3354,34.48,44.0
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,2,ARCHIAC,5305,897,16.91,4408,83.09,310,5.84,7.03,4098,77.25,92.97,M,HOLLANDE,François,1891,35.65,46.14,M,SARKOZY,Nicolas,2207,41.6,53.86
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,3,ARS-EN-RE,4406,595,13.5,3811,86.5,148,3.36,3.88,3663,83.14,96.12,M,HOLLANDE,François,1248,28.33,34.07,M,SARKOZY,Nicolas,2415,54.81,65.93
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,4,AULNAY,5148,970,18.84,4178,81.16,289,5.61,6.92,3889,75.54,93.08,M,HOLLANDE,François,2002,38.89,51.48,M,SARKOZY,Nicolas,1887,36.66,48.52
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,5,BURIE,5310,866,16.31,4444,83.69,304,5.73,6.84,4140,77.97,93.16,M,HOLLANDE,François,2301,43.33,55.58,M,SARKOZY,Nicolas,1839,34.63,44.42
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,6,LE-CHATEAU-D'OLERON,8055,1383,17.17,6672,82.83,344,4.27,5.16,6328,78.56,94.84,M,HOLLANDE,François,2710,33.64,42.83,M,SARKOZY,Nicolas,3618,44.92,57.17
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,7,COURCON,9564,1551,16.22,8013,83.78,530,5.54,6.61,7483,78.24,93.39,M,HOLLANDE,François,4045,42.29,54.06,M,SARKOZY,Nicolas,3438,35.95,45.94
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,8,COZES,9999,1680,16.8,8319,83.2,552,5.52,6.64,7767,77.68,93.36,M,HOLLANDE,François,3275,32.75,42.17,M,SARKOZY,Nicolas,4492,44.92,57.83
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,9,GEMOZAC,9796,1592,16.25,8204,83.75,589,6.01,7.18,7615,77.74,92.82,M,HOLLANDE,François,3495,35.68,45.9,M,SARKOZY,Nicolas,4120,42.06,54.1
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,10,LA JARRIE,17756,2691,15.16,15065,84.84,809,4.56,5.37,14256,80.29,94.63,M,HOLLANDE,François,8030,45.22,56.33,M,SARKOZY,Nicolas,6226,35.06,43.67
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,11,JONZAC,8003,1503,18.78,6500,81.22,398,4.97,6.12,6102,76.25,93.88,M,HOLLANDE,François,3170,39.61,51.95,M,SARKOZY,Nicolas,2932,36.64,48.05
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,12,LOULAY,3909,697,17.83,3212,82.17,234,5.99,7.29,2978,76.18,92.71,M,HOLLANDE,François,1672,42.77,56.15,M,SARKOZY,Nicolas,1306,33.41,43.85
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,13,MARANS,8919,1600,17.94,7319,82.06,501,5.62,6.85,6818,76.44,93.15,M,HOLLANDE,François,3705,41.54,54.34,M,SARKOZY,Nicolas,3113,34.9,45.66
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,14,MARENNES,11317,2145,18.95,9172,81.05,564,4.98,6.15,8608,76.06,93.85,M,HOLLANDE,François,3945,34.86,45.83,M,SARKOZY,Nicolas,4663,41.2,54.17
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,15,MATHA,7293,1201,16.47,6092,83.53,410,5.62,6.73,5682,77.91,93.27,M,HOLLANDE,François,3042,41.71,53.54,M,SARKOZY,Nicolas,2640,36.2,46.46
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,16,MIRAMBEAU,6018,1052,17.48,4966,82.52,391,6.5,7.87,4575,76.02,92.13,M,HOLLANDE,François,2216,36.82,48.44,M,SARKOZY,Nicolas,2359,39.2,51.56
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,17,MONTENDRE,5107,809,15.84,4298,84.16,228,4.46,5.3,4070,79.69,94.7,M,HOLLANDE,François,2223,43.53,54.62,M,SARKOZY,Nicolas,1847,36.17,45.38
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,18,MONTGUYON,7677,1417,18.46,6260,81.54,514,6.7,8.21,5746,74.85,91.79,M,HOLLANDE,François,3134,40.82,54.54,M,SARKOZY,Nicolas,2612,34.02,45.46
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,19,MONTLIEU-LA-GARDE,4967,780,15.7,4187,84.3,322,6.48,7.69,3865,77.81,92.31,M,HOLLANDE,François,2207,44.43,57.1,M,SARKOZY,Nicolas,1658,33.38,42.9
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,20,PONS,9476,1640,17.31,7836,82.69,594,6.27,7.58,7242,76.42,92.42,M,HOLLANDE,François,3661,38.63,50.55,M,SARKOZY,Nicolas,3581,37.79,49.45
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,21,ROCHEFORT-NORD,10906,1721,15.78,9185,84.22,541,4.96,5.89,8644,79.26,94.11,M,HOLLANDE,François,4373,40.1,50.59,M,SARKOZY,Nicolas,4271,39.16,49.41
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,22,ROCHEFORT-SUD,7155,1818,25.41,5337,74.59,319,4.46,5.98,5018,70.13,94.02,M,HOLLANDE,François,2954,41.29,58.87,M,SARKOZY,Nicolas,2064,28.85,41.13
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,23,LA-ROCHELLE-1,6476,1461,22.56,5015,77.44,243,3.75,4.85,4772,73.69,95.15,M,HOLLANDE,François,3047,47.05,63.85,M,SARKOZY,Nicolas,1725,26.64,36.15
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,24,LA-ROCHELLE-2,4998,1206,24.13,3792,75.87,202,4.04,5.33,3590,71.83,94.67,M,HOLLANDE,François,2441,48.84,67.99,M,SARKOZY,Nicolas,1149,22.99,32.01
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,25,ROYAN-EST,14936,2783,18.63,12153,81.37,701,4.69,5.77,11452,76.67,94.23,M,HOLLANDE,François,4825,32.3,42.13,M,SARKOZY,Nicolas,6627,44.37,57.87
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,26,SAINT-AGNANT,10586,1621,15.31,8965,84.69,628,5.93,7.01,8337,78.75,92.99,M,HOLLANDE,François,3872,36.58,46.44,M,SARKOZY,Nicolas,4465,42.18,53.56
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,27,SAINT-GENIS-DE-SAINTONGE,5954,999,16.78,4955,83.22,353,5.93,7.12,4602,77.29,92.88,M,HOLLANDE,François,2144,36.01,46.59,M,SARKOZY,Nicolas,2458,41.28,53.41
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,28,SAINT-HILAIRE-DE-VILLEFRANCHE,3637,676,18.59,2961,81.41,213,5.86,7.19,2748,75.56,92.81,M,HOLLANDE,François,1499,41.22,54.55,M,SARKOZY,Nicolas,1249,34.34,45.45
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,29,SAINT-JEAN-D'ANGÉLY,12779,2495,19.52,10284,80.48,679,5.31,6.6,9605,75.16,93.4,M,HOLLANDE,François,5226,40.9,54.41,M,SARKOZY,Nicolas,4379,34.27,45.59
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,30,SAINT-MARTIN-DE-RÉ,11170,1573,14.08,9597,85.92,469,4.2,4.89,9128,81.72,95.11,M,HOLLANDE,François,3562,31.89,39.02,M,SARKOZY,Nicolas,5566,49.83,60.98
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,31,SAINT-PIERRE-D'OLÉRON,11047,1896,17.16,9151,82.84,571,5.17,6.24,8580,77.67,93.76,M,HOLLANDE,François,3818,34.56,44.5,M,SARKOZY,Nicolas,4762,43.11,55.5
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,32,SAINT-PORCHAIRE,10229,1635,15.98,8594,84.02,609,5.95,7.09,7985,78.06,92.91,M,HOLLANDE,François,3804,37.19,47.64,M,SARKOZY,Nicolas,4181,40.87,52.36
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,33,SAINT-SAVINIEN,5539,1000,18.05,4539,81.95,286,5.16,6.3,4253,76.78,93.7,M,HOLLANDE,François,2242,40.48,52.72,M,SARKOZY,Nicolas,2011,36.31,47.28
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,34,SAINTES-NORD,12709,2479,19.51,10230,80.49,586,4.61,5.73,9644,75.88,94.27,M,HOLLANDE,François,5409,42.56,56.09,M,SARKOZY,Nicolas,4235,33.32,43.91
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,35,SAINTES-OUEST,12548,2411,19.21,10137,80.79,628,5.0,6.2,9509,75.78,93.8,M,HOLLANDE,François,5277,42.05,55.49,M,SARKOZY,Nicolas,4232,33.73,44.51
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,36,SAUJON,14561,2449,16.82,12112,83.18,825,5.67,6.81,11287,77.52,93.19,M,HOLLANDE,François,5281,36.27,46.79,M,SARKOZY,Nicolas,6006,41.25,53.21
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,37,SURGÈRES,11303,1888,16.7,9415,83.3,579,5.12,6.15,8836,78.17,93.85,M,HOLLANDE,François,5032,44.52,56.95,M,SARKOZY,Nicolas,3804,33.65,43.05
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,38,TONNAY-BOUTONNE,2655,446,16.8,2209,83.2,140,5.27,6.34,2069,77.93,93.66,M,HOLLANDE,François,1038,39.1,50.17,M,SARKOZY,Nicolas,1031,38.83,49.83
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,39,TONNAY-CHARENTE,10550,2021,19.16,8529,80.84,622,5.9,7.29,7907,74.95,92.71,M,HOLLANDE,François,4250,40.28,53.75,M,SARKOZY,Nicolas,3657,34.66,46.25
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,40,LA TREMBLADE,11903,2039,17.13,9864,82.87,586,4.92,5.94,9278,77.95,94.06,M,HOLLANDE,François,3905,32.81,42.09,M,SARKOZY,Nicolas,5373,45.14,57.91
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,41,LA-ROCHELLE-3,5424,1425,26.27,3999,73.73,193,3.56,4.83,3806,70.17,95.17,M,HOLLANDE,François,2496,46.02,65.58,M,SARKOZY,Nicolas,1310,24.15,34.42
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,42,LA-ROCHELLE-4,8991,1671,18.59,7320,81.41,293,3.26,4.0,7027,78.16,96.0,M,HOLLANDE,François,3648,40.57,51.91,M,SARKOZY,Nicolas,3379,37.58,48.09
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,43,ROYAN-OUEST,17734,2930,16.52,14804,83.48,807,4.55,5.45,13997,78.93,94.55,M,HOLLANDE,François,5389,30.39,38.5,M,SARKOZY,Nicolas,8608,48.54,61.5
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,44,LA-ROCHELLE-5,14126,2109,14.93,12017,85.07,619,4.38,5.15,11398,80.69,94.85,M,HOLLANDE,François,6475,45.84,56.81,M,SARKOZY,Nicolas,4923,34.85,43.19
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,45,LA-ROCHELLE-6,10335,2234,21.62,8101,78.38,354,3.43,4.37,7747,74.96,95.63,M,HOLLANDE,François,4956,47.95,63.97,M,SARKOZY,Nicolas,2791,27.01,36.03
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,46,AYTRE,14180,2410,17.0,11770,83.0,551,3.89,4.68,11219,79.12,95.32,M,HOLLANDE,François,6224,43.89,55.48,M,SARKOZY,Nicolas,4995,35.23,44.52
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,47,ROCHEFORT-CENTRE,7996,1843,23.05,6153,76.95,350,4.38,5.69,5803,72.57,94.31,M,HOLLANDE,François,3156,39.47,54.39,M,SARKOZY,Nicolas,2647,33.1,45.61
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,48,LA-ROCHELLE-7,7168,1242,17.33,5926,82.67,289,4.03,4.88,5637,78.64,95.12,M,HOLLANDE,François,3410,47.57,60.49,M,SARKOZY,Nicolas,2227,31.07,39.51
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,49,LA-ROCHELLE-8,11627,1976,16.99,9651,83.01,491,4.22,5.09,9160,78.78,94.91,M,HOLLANDE,François,5338,45.91,58.28,M,SARKOZY,Nicolas,3822,32.87,41.72
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,50,LA-ROCHELLE-9,14109,2202,15.61,11907,84.39,543,3.85,4.56,11364,80.54,95.44,M,HOLLANDE,François,6346,44.98,55.84,M,SARKOZY,Nicolas,5018,35.57,44.16
Nouvelle-Aquitaine,2012,2,17,CHARENTE MARITIME,51,SAINTES-EST,10942,2039,18.63,8903,81.37,522,4.77,5.86,8381,76.59,94.14,M,HOLLANDE,François,4709,43.04,56.19,M,SARKOZY,Nicolas,3672,33.56,43.81
Nouvelle-Aquitaine,2012,2,19,CORREZE,1,ARGENTAT,5113,665,13.01,4448,86.99,220,4.3,4.95,4228,82.69,95.05,M,HOLLANDE,François,2901,56.74,68.61,M,SARKOZY,Nicolas,1327,25.95,31.39
Nouvelle-Aquitaine,2012,2,19,CORREZE,2,AYEN,7045,779,11.06,6266,88.94,408,5.79,6.51,5858,83.15,93.49,M,HOLLANDE,François,3656,51.89,62.41,M,SARKOZY,Nicolas,2202,31.26,37.59
Nouvelle-Aquitaine,2012,2,19,CORREZE,3,BEAULIEU-SUR-DORDOGNE,3309,324,9.79,2985,90.21,142,4.29,4.76,2843,85.92,95.24,M,HOLLANDE,François,1810,54.7,63.67,M,SARKOZY,Nicolas,1033,31.22,36.33
Nouvelle-Aquitaine,2012,2,19,CORREZE,4,BEYNAT,2996,336,11.21,2660,88.79,152,5.07,5.71,2508,83.71,94.29,M,HOLLANDE,François,1654,55.21,65.95,M,SARKOZY,Nicolas,854,28.5,34.05
Nouvelle-Aquitaine,2012,2,19,CORREZE,5,BORT-LES-ORGUES,3854,597,15.49,3257,84.51,199,5.16,6.11,3058,79.35,93.89,M,HOLLANDE,François,1899,49.27,62.1,M,SARKOZY,Nicolas,1159,30.07,37.9
Nouvelle-Aquitaine,2012,2,19,CORREZE,6,BRIVE-NORD-EST,7250,1440,19.86,5810,80.14,290,4.0,4.99,5520,76.14,95.01,M,HOLLANDE,François,3043,41.97,55.13,M,SARKOZY,Nicolas,2477,34.17,44.87
Nouvelle-Aquitaine,2012,2,19,CORREZE,7,BUGEAT,1917,251,13.09,1666,86.91,95,4.96,5.7,1571,81.95,94.3,M,HOLLANDE,François,1030,53.73,65.56,M,SARKOZY,Nicolas,541,28.22,34.44
Nouvelle-Aquitaine,2012,2,19,CORREZE,8,CORRÈZE,2956,306,10.35,2650,89.65,173,5.85,6.53,2477,83.8,93.47,M,HOLLANDE,François,1586,53.65,64.03,M,SARKOZY,Nicolas,891,30.14,35.97
Nouvelle-Aquitaine,2012,2,19,CORREZE,9,DONZENAC,8880,971,10.93,7909,89.07,464,5.23,5.87,7445,83.84,94.13,M,HOLLANDE,François,4720,53.15,63.4,M,SARKOZY,Nicolas,2725,30.69,36.6
Nouvelle-Aquitaine,2012,2,19,CORREZE,10,EGLETONS,4933,619,12.55,4314,87.45,295,5.98,6.84,4019,81.47,93.16,M,HOLLANDE,François,2618,53.07,65.14,M,SARKOZY,Nicolas,1401,28.4,34.86
Nouvelle-Aquitaine,2012,2,19,CORREZE,11,EYGURANDE,2052,260,12.67,1792,87.33,128,6.24,7.14,1664,81.09,92.86,M,HOLLANDE,François,1108,54.0,66.59,M,SARKOZY,Nicolas,556,27.1,33.41
Nouvelle-Aquitaine,2012,2,19,CORREZE,12,JUILLAC,4422,487,11.01,3935,88.99,222,5.02,5.64,3713,83.97,94.36,M,HOLLANDE,François,2463,55.7,66.33,M,SARKOZY,Nicolas,1250,28.27,33.67
Nouvelle-Aquitaine,2012,2,19,CORREZE,13,LAPLEAU,1540,162,10.52,1378,89.48,86,5.58,6.24,1292,83.9,93.76,M,HOLLANDE,François,845,54.87,65.4,M,SARKOZY,Nicolas,447,29.03,34.6
Nouvelle-Aquitaine,2012,2,19,CORREZE,14,LARCHE,9301,1084,11.65,8217,88.35,517,5.56,6.29,7700,82.79,93.71,M,HOLLANDE,François,4928,52.98,64.0,M,SARKOZY,Nicolas,2772,29.8,36.0
Nouvelle-Aquitaine,2012,2,19,CORREZE,15,LUBERSAC,5865,736,12.55,5129,87.45,280,4.77,5.46,4849,82.68,94.54,M,HOLLANDE,François,3028,51.63,62.45,M,SARKOZY,Nicolas,1821,31.05,37.55
Nouvelle-Aquitaine,2012,2,19,CORREZE,16,MERCOEUR,2304,317,13.76,1987,86.24,99,4.3,4.98,1888,81.94,95.02,M,HOLLANDE,François,1147,49.78,60.75,M,SARKOZY,Nicolas,741,32.16,39.25
Nouvelle-Aquitaine,2012,2,19,CORREZE,17,MEYMAC,3765,501,13.31,3264,86.69,169,4.49,5.18,3095,82.2,94.82,M,HOLLANDE,François,1971,52.35,63.68,M,SARKOZY,Nicolas,1124,29.85,36.32
Nouvelle-Aquitaine,2012,2,19,CORREZE,18,MEYSSAC,4486,477,10.63,4009,89.37,247,5.51,6.16,3762,83.86,93.84,M,HOLLANDE,François,2347,52.32,62.39,M,SARKOZY,Nicolas,1415,31.54,37.61
Nouvelle-Aquitaine,2012,2,19,CORREZE,19,NEUVIC,3097,389,12.56,2708,87.44,161,5.2,5.95,2547,82.24,94.05,M,HOLLANDE,François,1642,53.02,64.47,M,SARKOZY,Nicolas,905,29.22,35.53
